Account,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,total,pnl_rank,ef_share_pct,eg_share_pct
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9544.906134,93165.161357,401309.434693,534058.23633,1105304.859175,2143382.597689,1,1.2914049228109359,40.70847591937144
0x083384f897ee0f19899168e3b1bec365f52a9012,124769.221441,1113373.547515,125650.11674,276719.270187,-40282.335904,1600229.819979,2,16.881002759182838,-1.4836020013048588
0xbaaaf6571ab7d571043ff1e313a9609a10637864,261917.977792,620872.375844,57368.780126,4.672458,0.0,940163.8062200001,3,35.436929514520685,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,-71121.820704,367166.216924,381330.49405,163047.664946,0.0,840422.555216,4,-9.622626779875082,0.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,30774.092128,55978.79696,27116.682664,243399.51314,478811.468185,836080.553077,5,4.163667354210198,17.634668807189136
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,166696.399486,296781.722858,97380.090931,96392.783186,20496.054182,677747.0506429999,6,22.55365824334871,0.7548714919545799
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,33980.0,-58219.752261,0.0,453595.31817600003,0.0,429355.56591500004,7,4.597419677161971,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,5615.052102,58961.37973,227680.491734,124284.948775,416541.872341,8,0.0,4.577425677947146
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,25672.838055,49364.275663,-2605.9564710000004,95937.394195,210726.855269,379095.406711,9,3.473478835863734,7.761088754903198
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,198900.56161,144514.3446,-4526.698469,21077.717,573.585288,360539.51002900006,10,26.910810940093615,0.02112519699016072
0x4f93fead39b70a1824f981a54d4e55b278e9f760,74346.546606,-19126.158064,45514.323221,79023.471493,129217.68646,308975.869716,11,10.058925141126075,4.759098844042045
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,37712.523408999994,236797.727737,-90302.553718,30258.203855,6053.160569999998,220519.061853,12,5.102421930428724,0.22293844024521683
0x420ab45e0bd8863569a5efbb9c05d91f40624641,9461.082288,99648.278349,74293.663505,12082.95,4019.61859,199505.59273200002,13,1.280063739791048,0.14804290890226263
0x2c229d22b100a7beb69122eed721cee9b24011dd,11415.247787,3979.190772,42292.843076,20075.672949,90895.05041,168658.004994,14,1.5444580575524853,3.347672762035415
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-25666.012284,13422.524859,5505.749364,31192.591971,108009.960644,132464.814554,15,-3.4725553239771183,3.9780164227364327
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3425.96095,-621.54506,0.0,60254.251561,63520.274683,126578.94213400001,16,0.46352502309354093,2.3394573459622867
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2037.258612,2040.359057,1258.120923,30203.401038,73192.077142,108731.21677199999,17,0.27563663420472295,2.6956706876759875
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1011.258943,12934.469345,9467.021637,35098.877549,47791.247782,106302.875256,18,0.13682112310930597,1.7601558912374538
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-14527.442518,9999.484228,4029.241688,36566.483324,67275.949439,103343.716161,19,-1.9655311975012555,2.47777918006671
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-961.048507,-16719.913714000002,-53.631353999999995,44169.810737,46411.26711,72846.484272,20,-0.1300277609414048,1.7093310807890127
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,622.41079,8129.3406589999995,0.0,38168.35486,20925.513222,67845.619531,21,0.08421081851747875,0.770688506457932
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-4825.496358,258.41533,12960.109958,57108.9113,11.717676000000012,65513.657906,22,-0.6528791026587002,0.0004315630455411519
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,110.553364,4256.559309,8019.163096,4239.816383,36870.155091,53496.247243000005,23,0.01495762834108446,1.3579310795627522
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-4235.153050999999,-1658.7368009999998,-11933.080125,30053.395556,35658.894935000004,47885.32051400001,24,-0.5730069444514407,1.3133202606711896
0x8477e447846c758f5a675856001ea72298fd9cb5,1774.309786,9299.484548,808.3427170000001,-24036.539128,56071.411052999996,43917.008976,25,0.24006023318238512,2.065115038325216
0xb899e522b5715391ae1d4f137653e7906c5e2115,-33221.806818,51692.358711,4017.948928,0.0,0.0,22488.500821,26,-4.494837797997262,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,0.0,14542.702934,7157.683579,43.2005,15.24474,21758.831753,27,0.0,0.0005614651252418153
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,3222.822132,4036.552319,-395.0559780000001,6775.291988000001,1260.832586,14900.443047,28,0.43604078533401697,0.046436575881743596
0x39cef799f8b69da1995852eea189df24eb5cae3c,-76179.494853,54685.021109,10953.24796,10591.760255,14406.384865,14456.919336000004,29,-10.306919029824641,0.530588431321821
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-56967.825773000004,-467.058896,-1228.907104,-3531.989984,30992.181771,-31203.599986000005,30,-7.70762222407078,1.1414448012607379
0x271b280974205ca63b716753467d5a371de622ab,16706.884912,30121.91049,-19038.340561,-100019.806374,1793.1602149999999,-70436.19131800001,31,2.2604049864187536,0.06604224963453725
0x8170715b3b381dffb7062c0298972d4727a0a63b,12713.493131000001,151292.732859,47610.460743999996,-360101.898234,-19135.913281,-167621.12478100002,32,1.7201078130053844,-0.7047773820303386
