classification,total_pnl,mean_pnl,median_pnl,n_closed_trades,win_rate,total_volume,n_all_trades,avg_trade_size,n_days,pnl_per_volume_bps,avg_daily_pnl,avg_daily_volume
Extreme Fear,739110.24849,71.02731582644628,6.38805,10406,0.7621564482029598,114484261.44,21400,5349.7318429906545,14,64.55998747717474,52793.589177857146,8177447.245714285
Fear,3357155.441642,112.62598770940687,6.3504830000000005,29808,0.8728864734299517,483324789.79,61837,7816.109930785776,91,69.45961623654048,36891.81804002198,5311261.426263737
Neutral,1292920.67555,71.19999314664905,4.583458,18159,0.8238889806707418,180242063.08,37686,4782.732661465797,67,71.73246097256113,19297.323515671644,2690180.0459701493
Greed,2150129.272951,85.40392727005879,4.9276,25176,0.7689068954559898,288582494.72,50303,5736.884375086974,193,74.50657306976238,11140.566181093263,1495246.0866321246
Extreme Greed,2715171.310673,130.20530910051312,8.53074,20853,0.8916702632714717,124465164.57,39992,3112.2515645629123,114,218.14708718325522,23817.292198885963,1091799.6892105262
