date,classification,sentiment_value,total_pnl,total_volume,n_trades,n_wins,n_losses,win_rate
2023-05-01,Greed,63.0,0.0,477.0,3,0,0,
2023-12-05,Extreme Greed,75.0,0.0,50005.83,9,0,0,
2023-12-14,Greed,72.0,-205.43473700000007,113203.35,11,4,2,0.6666666666666666
2023-12-15,Greed,70.0,-24.632033999999997,10609.95,2,0,2,0.0
2023-12-16,Greed,67.0,0.0,15348.77,3,0,0,
2023-12-17,Greed,73.0,304.982785,116278.02,14,7,4,0.6363636363636364
2023-12-18,Greed,65.0,0.0,31164.179999999997,2,0,0,
2023-12-19,Greed,73.0,1000.5386120000001,91602.41,15,10,0,1.0
2023-12-20,Greed,74.0,162.732282,141636.79,18,8,0,1.0
2023-12-21,Greed,70.0,537.211402,125233.97,49,26,1,0.9629629629629629
2023-12-22,Greed,74.0,141.832675,88874.28,10,2,0,1.0
2023-12-23,Greed,70.0,146.936704,78438.25,13,8,0,1.0
2023-12-24,Greed,71.0,1008.619956,402954.94,39,15,2,0.8823529411764706
2023-12-25,Greed,73.0,-245.081348,59948.51,3,0,1,0.0
2023-12-27,Greed,73.0,-704.8892269999999,171411.06,28,4,9,0.3076923076923077
2023-12-28,Greed,73.0,-970.730876,100117.25,23,0,13,0.0
2023-12-29,Greed,65.0,508.92214299999995,569559.72,50,15,5,0.75
2023-12-30,Greed,68.0,354.998648,702550.21,52,23,10,0.696969696969697
2024-01-01,Greed,65.0,-129.53146,264239.52999999997,18,1,5,0.16666666666666666
2024-01-02,Greed,71.0,783.979116,121348.74,17,8,1,0.8888888888888888
2024-01-03,Greed,70.0,866.015507,394499.36,67,28,7,0.8
2024-01-04,Greed,68.0,-67.60364,99792.54000000001,5,0,3,0.0
2024-01-05,Greed,72.0,164.141565,1703942.66,66,13,10,0.5652173913043478
2024-01-06,Greed,70.0,135.58166400000002,298521.4,22,10,2,0.8333333333333334
2024-01-07,Greed,71.0,-835.681235,1048850.06,97,9,28,0.24324324324324326
2024-01-08,Greed,71.0,-269.874439,1522452.43,128,32,35,0.47761194029850745
2024-01-09,Extreme Greed,76.0,-826.349863,870051.97,70,18,10,0.6428571428571429
2024-01-10,Greed,73.0,-1517.091342,2057479.48,193,41,42,0.4939759036144578
2024-01-11,Extreme Greed,76.0,-164.08950099999998,305314.1,21,5,4,0.5555555555555556
2024-01-12,Greed,71.0,-1925.519024,200082.27,7,0,2,0.0
2024-01-15,Neutral,52.0,152.85358,50636.1,14,9,0,1.0
2024-01-16,Greed,64.0,-2299.171458,116427.33,9,3,2,0.6
2024-01-17,Greed,60.0,813.2741110000001,800831.03,53,11,8,0.5789473684210527
2024-01-18,Greed,63.0,68.93319,424631.52999999997,46,3,6,0.3333333333333333
2024-01-19,Neutral,51.0,-385.419235,428428.97,48,6,21,0.2222222222222222
2024-01-20,Neutral,52.0,-146.57487000000003,1070090.51,106,15,17,0.46875
2024-01-21,Greed,56.0,266.58114600000005,103129.74,11,3,2,0.6
2024-01-22,Greed,55.0,1375.640959,337878.99,85,23,18,0.5609756097560976
2024-01-23,Neutral,50.0,-369.2447299999998,414518.93000000005,45,11,9,0.55
2024-01-24,Neutral,48.0,-2808.353815,965084.59,68,10,30,0.25
2024-01-25,Neutral,52.0,-3093.6293849999997,66566.13,6,0,6,0.0
2024-01-26,Neutral,49.0,90.2,11773.21,5,1,0,1.0
2024-01-28,Neutral,54.0,-2478.06972,18109.03,11,0,11,0.0
2024-01-29,Greed,55.0,486.562542,414208.18,74,45,0,1.0
2024-01-30,Greed,61.0,-173.65419100000003,401011.38,49,5,14,0.2631578947368421
2024-01-31,Greed,60.0,-799.840817,6305647.13,859,231,205,0.5298165137614679
2024-02-01,Greed,63.0,0.0,2008.18,6,0,0,
2024-02-02,Greed,63.0,456.423473,474278.43,42,13,8,0.6190476190476191
2024-02-03,Greed,60.0,223.30918699999998,603820.0,56,6,6,0.5
2024-02-04,Greed,60.0,47.62389499999999,203187.53,35,9,19,0.32142857142857145
2024-02-05,Greed,60.0,-33.45419400000003,770198.26,72,14,18,0.4375
2024-02-06,Greed,64.0,-215.615907,8047153.41,1088,179,344,0.3422562141491396
2024-02-07,Greed,62.0,241.24212,6758.73,15,2,0,1.0
2024-02-08,Greed,66.0,770.756024,26051.12,10,4,0,1.0
2024-02-11,Greed,71.0,983.443176,212311.82,34,7,0,1.0
2024-02-12,Greed,70.0,913.8817869999998,227247.69999999998,16,6,9,0.4
2024-02-13,Extreme Greed,79.0,559.44389,1999.99,14,14,0,1.0
2024-02-14,Greed,74.0,3830.599833,320839.88,111,83,1,0.9880952380952381
